element,v1,v2
<file:///Users/agata/Desktop/KE/N83>,0.5434865,-0.8394179
<file:///Users/agata/Desktop/KE/N84>,0.6524201,-0.75785756
<file:///Users/agata/Desktop/KE/N85>,-0.8473406,-0.5310499
<file:///Users/agata/Desktop/KE/N86>,0.9408694,-0.33876973
<file:///Users/agata/Desktop/KE/N87>,-0.48039997,-0.87704957
<file:///Users/agata/Desktop/KE/N88>,-0.17885765,0.983875
<file:///Users/agata/Desktop/KE/N89>,0.73221195,0.6810768
<file:///Users/agata/Desktop/KE/N8>,-0.44237155,0.8968319
<file:///Users/agata/Desktop/KE/N90>,-0.39546558,0.9184808
<file:///Users/agata/Desktop/KE/N91>,0.7014913,0.7126781
<file:///Users/agata/Desktop/KE/N92>,0.9781099,0.20808892
<file:///Users/agata/Desktop/KE/N93>,0.55003273,-0.8351431
<file:///Users/agata/Desktop/KE/N94>,0.6003099,-0.79976743
<file:///Users/agata/Desktop/KE/N95>,0.38843167,-0.92147756
<file:///Users/agata/Desktop/KE/N96>,0.75974804,-0.6502176
<file:///Users/agata/Desktop/KE/N97>,-0.8852472,-0.4651208
<file:///Users/agata/Desktop/KE/N98>,0.93222356,-0.3618829
<file:///Users/agata/Desktop/KE/N99>,0.59427696,-0.80426055
<file:///Users/agata/Desktop/KE/N9>,-0.7955963,0.60582715
<file:///Users/agata/Desktop/KE/R10>,-0.586247,0.32725158
<file:///Users/agata/Desktop/KE/R11>,0.5765768,0.32144663
<file:///Users/agata/Desktop/KE/R12>,-0.14074814,-0.49941307
<file:///Users/agata/Desktop/KE/R13>,0.18518363,-0.49798506
<file:///Users/agata/Desktop/KE/R14>,0.13349386,0.3893674
<file:///Users/agata/Desktop/KE/R15>,-0.49601385,-0.40955463
<file:///Users/agata/Desktop/KE/R16>,-0.30140916,-0.46098918
<file:///Users/agata/Desktop/KE/R17>,0.3961636,-0.5842914
<file:///Users/agata/Desktop/KE/R18>,-0.5683012,-0.17456284
<file:///Users/agata/Desktop/KE/R19>,-0.5848251,-0.14967564
<file:///Users/agata/Desktop/KE/R1>,0.5911367,0.046311315
<file:///Users/agata/Desktop/KE/R20>,0.5316,0.22714308
<file:///Users/agata/Desktop/KE/R21>,-0.10439093,-0.45162463
<file:///Users/agata/Desktop/KE/R22>,0.10162209,-0.7003793
<file:///Users/agata/Desktop/KE/R23>,-0.022733832,0.36641917
<file:///Users/agata/Desktop/KE/R24>,0.40771574,-0.19903187
<file:///Users/agata/Desktop/KE/R25>,0.5207715,0.44567466
<file:///Users/agata/Desktop/KE/R26>,0.29026613,-0.6082212
<file:///Users/agata/Desktop/KE/R27>,0.37264362,-0.48935246
<file:///Users/agata/Desktop/KE/R28>,-0.001402092,-0.5386667
<file:///Users/agata/Desktop/KE/R29>,0.6413421,0.25591135
<file:///Users/agata/Desktop/KE/R2>,0.5627491,-0.59845704
<file:///Users/agata/Desktop/KE/R30>,0.21270749,-0.6654099
<file:///Users/agata/Desktop/KE/R31>,-0.22546266,-0.2737398
<file:///Users/agata/Desktop/KE/R32>,-0.15577722,0.51051754
<file:///Users/agata/Desktop/KE/R33>,0.308037,-0.34581837
<file:///Users/agata/Desktop/KE/R34>,0.016726924,0.5730942
<file:///Users/agata/Desktop/KE/R35>,-0.5504182,0.059666455
<file:///Users/agata/Desktop/KE/R36>,0.1362773,-0.7126208
<file:///Users/agata/Desktop/KE/R37>,0.6379621,0.40275192
<file:///Users/agata/Desktop/KE/R38>,0.58944255,-0.4026139
<file:///Users/agata/Desktop/KE/R39>,0.4053006,-0.52631325
<file:///Users/agata/Desktop/KE/R3>,-0.032798156,-0.44194937
<file:///Users/agata/Desktop/KE/R40>,-0.25942194,0.64650327
<file:///Users/agata/Desktop/KE/R41>,-0.6202441,0.22270201
<file:///Users/agata/Desktop/KE/R42>,0.6941378,0.17175153
<file:///Users/agata/Desktop/KE/R43>,0.2992438,-0.6917883
<file:///Users/agata/Desktop/KE/R44>,0.62896496,-0.30920446
<file:///Users/agata/Desktop/KE/R45>,0.32398605,0.28547382
<file:///Users/agata/Desktop/KE/R46>,0.61144173,0.30909842
<file:///Users/agata/Desktop/KE/R47>,0.48221168,-0.45616126
<file:///Users/agata/Desktop/KE/R48>,-0.22277394,0.53494066
<file:///Users/agata/Desktop/KE/R49>,-0.3193074,0.35183817
<file:///Users/agata/Desktop/KE/R4>,0.4383655,-0.41460267
<file:///Users/agata/Desktop/KE/R5>,-0.5550312,0.08845521
<file:///Users/agata/Desktop/KE/R6>,0.28144786,-0.62933093
<file:///Users/agata/Desktop/KE/R7>,-0.57783175,0.2912785
<file:///Users/agata/Desktop/KE/R8>,-0.5416592,-0.0496765
<file:///Users/agata/Desktop/KE/R9>,0.20637947,0.3986204
