element,v1,v2
<file:///Users/agata/Desktop/KE/N75>,0.2519831,-0.31157184
<file:///Users/agata/Desktop/KE/R26>,0.0717454,-0.088962555
<file:///Users/agata/Desktop/KE/N55>,0.015721466,-0.48433328
<file:///Users/agata/Desktop/KE/R19>,0.14808017,-0.23021431
<file:///Users/agata/Desktop/KE/R28>,0.067170694,-0.06535147
<file:///Users/agata/Desktop/KE/N46>,0.11764304,-0.38610998
<file:///Users/agata/Desktop/KE/R17>,-0.124752775,0.1483546
<file:///Users/agata/Desktop/KE/N8>,0.27746722,-0.110554926
<file:///Users/agata/Desktop/KE/N97>,-0.46403655,0.23013712
<file:///Users/agata/Desktop/KE/N52>,0.0106180115,0.16517892
<file:///Users/agata/Desktop/KE/N26>,-0.33433178,-0.06285421
<file:///Users/agata/Desktop/KE/R35>,0.39146844,0.3757392
<file:///Users/agata/Desktop/KE/N33>,-0.1709697,0.14186259
<file:///Users/agata/Desktop/KE/N62>,-0.4073782,0.32182792
<file:///Users/agata/Desktop/KE/N32>,-0.22758244,-0.14928675
<file:///Users/agata/Desktop/KE/N85>,0.47420818,0.055147372
<file:///Users/agata/Desktop/KE/N15>,0.3822281,-0.2982291
<file:///Users/agata/Desktop/KE/N96>,0.26686433,0.50277746
<file:///Users/agata/Desktop/KE/R33>,-0.41178274,-0.24419154
<file:///Users/agata/Desktop/KE/N99>,-0.34340975,-0.22940032
<file:///Users/agata/Desktop/KE/N25>,-0.18272603,-0.41964608
<file:///Users/agata/Desktop/KE/N63>,0.4049508,-0.2340258
<file:///Users/agata/Desktop/KE/N95>,0.43019703,0.2734963
<file:///Users/agata/Desktop/KE/R4>,-0.3214492,0.20488507
<file:///Users/agata/Desktop/KE/N92>,0.28826734,-0.35930791
<file:///Users/agata/Desktop/KE/N44>,-0.3612659,-0.10872556
<file:///Users/agata/Desktop/KE/N1>,-0.413956,-0.06593472
<file:///Users/agata/Desktop/KE/N3>,-0.009979437,0.17035186
<file:///Users/agata/Desktop/KE/N48>,0.08096292,-0.03733884
<file:///Users/agata/Desktop/KE/N43>,-0.26976633,0.09566144
<file:///Users/agata/Desktop/KE/N45>,-0.039114926,0.35085836
<file:///Users/agata/Desktop/KE/N54>,0.20621872,0.23325053
<file:///Users/agata/Desktop/KE/N88>,0.076959,-0.12341538
<file:///Users/agata/Desktop/KE/N87>,-0.2097274,-0.047204714
<file:///Users/agata/Desktop/KE/N9>,0.0772305,-0.119797125
<file:///Users/agata/Desktop/KE/N84>,-0.3479691,-0.38043705
<file:///Users/agata/Desktop/KE/N61>,-0.44679505,-0.28481036
<file:///Users/agata/Desktop/KE/N41>,-0.08570887,-0.20748278
<file:///Users/agata/Desktop/KE/N86>,-0.31724447,-0.17474169
<file:///Users/agata/Desktop/KE/N42>,0.22189866,-0.18055433
<file:///Users/agata/Desktop/KE/N90>,0.4298362,0.0850394
<file:///Users/agata/Desktop/KE/N20>,-0.35336104,0.48052767
<file:///Users/agata/Desktop/KE/N30>,0.38634238,0.28743398
<file:///Users/agata/Desktop/KE/N5>,-0.3401023,0.2965519
<file:///Users/agata/Desktop/KE/N51>,0.20754367,0.26612735
<file:///Users/agata/Desktop/KE/N72>,0.21912342,0.10475616
<file:///Users/agata/Desktop/KE/N67>,-0.14902925,0.4272303
<file:///Users/agata/Desktop/KE/N24>,0.4912143,0.19694202
<file:///Users/agata/Desktop/KE/N66>,-0.13822463,0.0059501976
<file:///Users/agata/Desktop/KE/N38>,0.070021376,-0.41664827
<file:///Users/agata/Desktop/KE/N53>,-0.4019295,-0.006546767
<file:///Users/agata/Desktop/KE/N37>,0.06946576,-0.28136382
<file:///Users/agata/Desktop/KE/N39>,-0.23222011,-0.36226022
<file:///Users/agata/Desktop/KE/N31>,0.42240563,0.011308314
<file:///Users/agata/Desktop/KE/N73>,-0.21664065,0.29196647
<file:///Users/agata/Desktop/KE/N60>,0.47208366,-0.19958021
<file:///Users/agata/Desktop/KE/N22>,0.40137458,0.27081302
